index,epsilon,pvalue,product,gene
NTC_1970,-0.0969733333333,0.814553206834,-0.00863843711196,NTC
SERPINA1_P2,-0.0637866666667,0.731918070545,-0.00864548726496,SERPINA1
NTC_283,-0.14197,0.86763887574,-0.00875401175356,NTC
NTC_32,-0.012599,0.201350269984,-0.00876950602716,NTC
NTC_846,-0.03617,0.57012126755,-0.00882666485561,NTC
PRKCZ_P1,-0.16595,0.884667953269,-0.00883180997531,PRKCZ
FLT4,-0.101093333333,0.816949905192,-0.00887645699587,FLT4
NTC_2468,-0.0384,0.587003958959,-0.00888418443685,NTC
CAMKK2,-0.0624293333333,0.71803010073,-0.00898091840579,CAMKK2
NTC_1150,-0.166593333333,0.882231683084,-0.00906556767888,NTC
SPHK1,-0.0761933333333,0.759954884832,-0.00908317406154,SPHK1
SLC16A6,-0.08593,0.783564093173,-0.00910217596081,SLC16A6
FTH1,-0.0387473333333,0.580646199044,-0.00914779641692,FTH1
NTC_2038,-0.242239666667,0.916428943308,-0.00918117479796,NTC
NTC_1098,-0.09264,0.795445187509,-0.00920746563641,NTC
CHRNB2,-0.10512,0.816949905192,-0.00923001674432,CHRNB2
NTC_1824,-0.11223,0.824149523325,-0.00942664529853,NTC
NTC_1310,-0.199673333333,0.896864575381,-0.00943918335167,NTC
MAT1A,-0.01257,0.177434337504,-0.00943959649685,MAT1A
ISG20,-0.0192066666667,0.321836775396,-0.00945667759895,ISG20
ZAP70,-0.31748,0.933589862391,-0.00947483274532,ZAP70
SLC19A3,-0.016576,0.267875462397,-0.00948258369076,SLC19A3
NTC_1226,-0.0278833333333,0.455138216381,-0.00953210422794,NTC
CACNA1C,-0.0204143333333,0.340258176863,-0.00955781590189,CACNA1C
NTC_2308,-0.0622466666667,0.701944467745,-0.00956714114168,NTC
NAPB,-0.010666,0.12658699926,-0.0095739178055,NAPB
NTC_136,-0.0339266666667,0.520910004988,-0.00960929750206,NTC
SCPEP1,-0.0540566666667,0.663444061119,-0.00963266497167,SCPEP1
PSTPIP1,-0.0330566666667,0.510940458731,-0.00964030599534,PSTPIP1
GBA_P2,-0.24953,0.913980459107,-0.00974741269266,GBA
PAPSS1,-0.03027,0.47589108935,-0.0097618457627,PAPSS1
IRAK1_P1,-0.04494,0.606269400617,-0.00976700572255,IRAK1
NTC_432,-0.0246933333333,0.40120881315,-0.00979410533293,NTC
NTC_913,-0.0242433333333,0.394319907377,-0.00979797460703,NTC
NTC_1548,-0.00950633333333,0.0931659589458,-0.00979858408195,NTC
NTC_815,-0.04968,0.634583894779,-0.00981234420142,NTC
NTC_1196,-0.0532586666667,0.652281608388,-0.00988293737486,NTC
NTC_398,-0.0501966666667,0.634583894779,-0.00991439152773,NTC
NTC_865,-0.210263333333,0.896864575381,-0.00993980579347,NTC
NTC_1082,-0.0581733333333,0.674681135065,-0.00994190603465,NTC
NTC_79,-0.0909946666667,0.776459078492,-0.00999862389865,NTC
MAP1A,-0.228866666667,0.904194605569,-0.0100101904751,MAP1A
CSNK1E,-0.159723333333,0.865211105243,-0.0100430701606,CSNK1E
NTC_2316,-0.0465566666667,0.608426982168,-0.0100465345343,NTC
KCNK1,-0.0148093333333,0.209076444751,-0.0100658282427,KCNK1
GAA,-0.12968,0.836181974437,-0.0100760320958,GAA
BMPR1B,-0.168173666667,0.870068138289,-0.0101655490335,BMPR1B
NRGN,-0.548616666667,0.958157011349,-0.0101841456914,NRGN
NTC_565,-0.286216666667,0.92132842666,-0.0101851714668,NTC
PANK2,-0.12734,0.831364289896,-0.010213767447,PANK2
NTC_657,-0.28744,0.92132842666,-0.0102287044305,NTC
NTC_1269,-0.05044,0.625811942673,-0.0102673723703,NTC
PPAP2B,-0.0273263333333,0.420522766105,-0.0102804531865,PPAP2B
NTC_444,-0.034479,0.501070753072,-0.0103471805099,NTC
MME,-0.195606666667,0.884667953269,-0.0104101290142,MME
HBB_P2,-0.0987533333333,0.783564093173,-0.0104604936194,HBB
NTC_1070,-0.0815566666667,0.743558840305,-0.0104950918068,NTC
KHK,-0.023212,0.352907147088,-0.0104997055465,KHK
NTC_199,-0.0636233333333,0.683723708915,-0.010505444092,NTC
KCNK3,-0.207336666667,0.889543526887,-0.0105395025397,KCNK3
NTC_1604,-0.203363333333,0.887105102149,-0.0105799617414,NTC
NTC_339,-0.0776033333333,0.729596917114,-0.0106252163483,NTC
NTC_71,-0.104216666667,0.790686808616,-0.0106296317204,NTC
MAP4K5,-0.0141166666667,0.175459158115,-0.010669714885,MAP4K5
PI4K2B,-0.0938233333333,0.769373120136,-0.0106830053463,PI4K2B
MMP16,-0.10401,0.788310721045,-0.0107444999917,MMP16
ADORA1,-0.0393066666667,0.530979574584,-0.0108062746767,ADORA1
NTC_1282,-0.0455633333333,0.57853366825,-0.0108290994836,NTC
NTC_2424,-0.199508666667,0.882231683084,-0.0108567328836,NTC
NTC_1590,-0.133676666667,0.82895765387,-0.010890324455,NTC
NTC_2052,-0.0639866666667,0.674681135065,-0.0109354130324,NTC
MAT2A,-0.282472,0.913980459107,-0.011034228983,MAT2A
NTC_1542,-0.21323,0.887105102149,-0.0110932743142,NTC
NTC_1287,-0.0473676666667,0.582761633129,-0.0111081464304,NTC
LMAN1,-0.209603333333,0.884667953269,-0.0111550274793,LMAN1
NTC_1825,-0.011126,0.0993391393388,-0.0111580385074,NTC
C17orf75,-0.0561066666667,0.632386342264,-0.011166209552,C17orf75
NTC_1426,-0.0926433333333,0.757605598034,-0.0111687861187,NTC
GAPDHS,-0.139593333333,0.831364289896,-0.0111965905749,GAPDHS
